Brake 10m earlier when overlap is less than 50 percent | braking | (Stewards AI)
Hold your line and do not leave the door open | defense | (Ross Bentley)
Overlap equals right to the apex | overtaking | (BMW SIM GT Rule 4)
Rejoin parallel to track, not across | rejoin | (iRacing 8.1.1.8)
Look 3 car lengths ahead in mirrors | vision | (Ross Bentley)
Spotter call inside equals react now | spotter | (Stewards AI)
Netcode is not your fault but awareness is | netcode | (Stewards AI)
Blue flags mean yield within 2 corners | lapped | (BMW SIM GT Rule 3)
Track limits mean 2 wheels on kerb max | general | (iRacing Sporting Code)
Vortex of Danger starts at apex exit | overtaking | (SCCA Appendix P)
Weaving to break tow equals blocking | defense | (BMW SIM GT Rule 2)
Pit maneuver equals intentional wrecking | general | (Stewards AI)
Lift early to avoid divebomb defense | braking | (Stewards AI)
Mirror check every 3 seconds on straights | vision | (Ross Bentley)
Use spotter for blind spots on rejoin | spotter | (Stewards AI)
Door open means close it firmly | defense | (Stewards AI)
Lunge at apex equals 90 percent fault | overtaking | (Stewards AI)
Off-track gain means give position back | general | (iRacing 8.1.1.8)
Defend once then hold line | defense | (BMW SIM GT Rule 2)
Turn off racing line in practice | general | (Stewards AI)
