thread_id,title,youtube_url,lap,turn,fault_pct_driver_a,fault_pct_driver_b,ruling,reason
1,Exit Vortex Contact,https://youtu.be/s5yfqvxhweq,24,straight,95,5,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
2,Apex Cut - Track Limits,https://youtu.be/z5fu9877u42,22,3,85,15,Inside Driver Fault,"Cut apex, forced outside car wide"
3,Track Limits Abuse Repeat,https://youtu.be/smlym7a90wi,11,straight,80,20,Offender Fault,4th violation - repeated apex cuts
4,Straight Weave Block,https://youtu.be/5785grrj3mt,2,straight,90,10,Defender Fault,Two moves on straight - One Move Rule violation
5,Track Limits Abuse Repeat,https://youtu.be/jcoighoxj42,5,straight,70,30,Offender Fault,4th violation - repeated apex cuts
6,Brake Test Divebomb,https://youtu.be/exdciakrdon,16,15,80,20,Overtaker Fault,Late dive under braking - no peripheral vision
7,Exit Vortex Contact,https://youtu.be/0ykck8rw03l,28,9,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
8,Brake Test Divebomb,https://youtu.be/kh6oprx06k4,14,straight,100,0,Overtaker Fault,Late dive under braking - no peripheral vision
9,Straight Weave Block,https://youtu.be/wf5ealg6zs4,24,straight,100,0,Defender Fault,Two moves on straight - One Move Rule violation
10,Exit Vortex Contact,https://youtu.be/k44e3xn6cqo,20,straight,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
11,Exit Vortex Contact,https://youtu.be/8fur1re1o5r,14,6,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
12,Brake Test Divebomb,https://youtu.be/bng9076bbo4,40,3,90,10,Overtaker Fault,Late dive under braking - no peripheral vision
13,Apex Cut - Track Limits,https://youtu.be/qyvznrqtsv2,16,straight,85,15,Inside Driver Fault,"Cut apex, forced outside car wide"
14,Kerb Strike Oversteer,https://youtu.be/fx0ygig1urg,31,10,100,0,Inside Driver Fault,Excessive kerb use caused snap
15,Brake Test Divebomb,https://youtu.be/bu93ry25srf,21,1,90,10,Overtaker Fault,Late dive under braking - no peripheral vision
16,Exit Vortex Contact,https://youtu.be/xq7k3vcurz3,22,straight,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
17,Exit Vortex Contact,https://youtu.be/r9xw522upt6,13,8,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
18,Straight Weave Block,https://youtu.be/99nce1bm5nz,9,straight,80,20,Defender Fault,Two moves on straight - One Move Rule violation
19,Exit Vortex Contact,https://youtu.be/gorspmfrrg4,10,straight,95,5,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
20,Exit Vortex Contact,https://youtu.be/c0o9duv5x30,2,straight,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
21,T9 Divebomb - Blind Spot Pass,https://youtu.be/wirhzl0j52d,50,9,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
22,Straight Weave Block,https://youtu.be/4c86roh8b5z,18,1,20,20,Defender Fault,Two moves on straight - One Move Rule violation
23,T11 Divebomb - Blind Spot Pass,https://youtu.be/9p8hyqw31la,8,11,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
24,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/ehnypoaia82,30,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
25,Exit Vortex Contact,https://youtu.be/ffb8bugxoi3,46,4,90,10,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
26,Outside Pass Late Commitment,https://youtu.be/qy1q1xis6ew,27,11,100,0,Outside Driver Fault,Not visible at apex - Exit Vortex
27,T1 Divebomb - Blind Spot Pass,https://youtu.be/me3azdi7hrp,27,1,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
28,Track Limits Abuse Repeat,https://youtu.be/3kl8qka3vg8,46,straight,80,20,Offender Fault,4th violation - repeated apex cuts
29,Apex Cut - Track Limits,https://youtu.be/94poyblpcih,44,4,80,20,Inside Driver Fault,"Cut apex, forced outside car wide"
30,Kerb Strike Oversteer,https://youtu.be/yum79b7z5hz,27,straight,100,0,Inside Driver Fault,Excessive kerb use caused snap
31,T7 Divebomb - Blind Spot Pass,https://youtu.be/om8yhfpzvx1,15,7,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
